OWNER_CIK,OWNER_NAME,Weighted_Return_6M,Weighted_Return_1Y,Weighted_Return_18M,Weighted_SP500_6M,Weighted_SP500_1Y,Weighted_SP500_18M,Weighted_Sector_6M,Weighted_Sector_1Y,Weighted_Sector_18M,Return_vs_SP500_6M,Return_vs_SP500_1Y,Return_vs_SP500_18M,Return_vs_Sector_6M,Return_vs_Sector_1Y,Return_vs_Sector_18M,Avg_Transaction_Value,Total_Transaction_Value,Transaction_Count,Number_of_Companies,Most_Common_Company,Most_Active_Sector,Most_Common_Company_Cap_Category,Earliest_Transaction_Year,Most_Recent_Transaction_Year,Unique_Transaction_Years
1251713,CONCANNON CHRISTOPHER R,-0.05,0.00,0.10,0.05,0.12,0.07,0.05,0.09,0.05,-0.10,-0.11,0.03,-0.09,-0.09,0.05,287494.23,2012459.61,7,2,MKTX,Financials,Mid Cap,2018,2023,2
1252016,WENTWORTH TIMOTHY C,-0.57,-0.63,-0.63,0.18,0.00,0.00,0.07,0.00,0.00,-0.75,-0.63,-0.63,-0.64,-0.63,-0.63,242200,242200,1,1,WBA,Consumer Staples,Mid Cap,2024,2024,1
1252276,MCGOLDRICK JOSEPH B,-0.38,-0.18,-0.13,-0.02,-0.04,0.02,-0.02,0.13,0.05,-0.36,-0.14,-0.15,-0.36,-0.31,-0.18,201500,201500,1,1,CNP,Utilities,Large Cap,2015,2015,1
1252451,CRANE ANN B,-0.24,-0.27,-0.16,0.01,0.03,0.07,0.03,0.03,0.16,-0.25,-0.30,-0.23,-0.27,-0.31,-0.32,40717.20667,122151.62,3,1,HBAN,Financials,Large Cap,2015,2016,2
1252570,BUZY PETER L,0.18,0.70,1.16,0.13,0.09,0.31,0.14,0.17,0.26,0.05,0.61,0.85,0.04,0.53,0.90,2008285,2008285,1,1,CTLT,Health Care,Large Cap,2019,2019,1
1254013,MERRITT DAVID C,0.04,-0.16,-0.02,0.08,0.14,0.16,-0.09,-0.07,-0.05,-0.04,-0.30,-0.18,0.13,-0.09,0.03,391572,391572,1,1,CHTR,Communication Services,Large Cap,2017,2017,1
1254639,BURNS MICHAEL RAYMOND,-0.33,-0.46,-0.41,-0.13,-0.05,-0.01,-0.19,-0.19,-0.13,-0.20,-0.41,-0.40,-0.14,-0.27,-0.28,219250,219250,1,1,HAS,Consumer Discretionary,Mid Cap,2022,2022,1
1256234,GRAFTON W ROBERT,0.13,-0.04,0.33,0.01,-0.07,0.10,0.10,-0.02,0.20,0.12,0.03,0.23,0.03,-0.02,0.13,2280.25,2280.25,1,1,KMX,Consumer Discretionary,Large Cap,2017,2017,1
1256293,PROCTOR H PALMER JR,0.07,0.08,0.17,-0.01,-0.02,0.11,-0.03,-0.09,-0.02,0.07,0.10,0.07,0.10,0.17,0.19,89315,535890,6,1,BRO,Financials,Large Cap,2019,2022,3
1256465,FALZON ROBERT,-0.35,-0.34,-0.07,0.00,0.12,0.30,-0.08,-0.11,0.22,-0.35,-0.46,-0.37,-0.27,-0.23,-0.29,300648.4,300648.4,1,1,PRU,Financials,Large Cap,2019,2019,1
